latitude,longitude,hour,weekday
12.9684401,77.5761682,6,Thursday
13.0081604,77.5549476,5,Sunday
12.9939065,77.5890926,6,Wednesday
12.9164485,77.610733,10,Sunday
13.00036,77.6771528,1,Tuesday
12.9644081,77.5770105,10,Saturday
12.9994571,77.5495821,7,Monday
12.9606736,77.5293232,13,Wednesday
12.9644244,77.5767348,8,Friday
12.9736403,77.5782797,9,Sunday
12.857753,77.5890942,13,Friday
12.9785138,77.573445,0,Tuesday
12.9751535,77.574816,7,Tuesday
12.979685,77.57495,6,Tuesday
12.9498805,77.6997111,2,Thursday
13.0352794,77.5890438,15,Friday
12.93559445398492,77.69003737159193,11,Tuesday
12.9326596,77.6915219,9,Friday
12.957243,77.7015945,11,Wednesday
12.9802846,77.5748165,5,Sunday
12.9375772,77.5852927,12,Sunday
12.9403618,77.6200136,3,Sunday
13.037604,77.5358454,3,Tuesday
12.982067,77.6088653,11,Tuesday
12.9106185,77.5732511,3,Saturday
13.0651174,77.5708331,9,Friday
12.9644289,77.5776733,9,Saturday
12.9810339,77.614334,10,Thursday
12.9320133,77.6915933,4,Tuesday
12.9697123,77.5755982,6,Friday
13.0711095,77.6336299,9,Tuesday
12.9661369,77.5348694,3,Tuesday
12.9808993,77.6106712,11,Wednesday
12.974975,77.5627085,4,Wednesday
12.9661867,77.5817683,11,Friday
13.0004239,77.6777519,1,Tuesday
12.9746059,77.5452534,4,Tuesday
12.9829737,77.6107664,12,Saturday
12.99498,77.61065,3,Thursday
12.9871596,77.6018832,0,Sunday
12.9809905,77.607665,12,Sunday
12.9592904,77.7011391,2,Wednesday
12.9757278,77.5525826,5,Monday
12.960295,77.5146617,0,Tuesday
12.9843602,77.5783712,13,Thursday
12.9766749,77.5773414,12,Friday
13.008354,77.5430082,10,Wednesday
12.8842282,77.6416462,13,Wednesday
12.996485,77.6122767,4,Sunday
12.958681,77.6495394,8,Wednesday
12.9745363,77.5781307,9,Wednesday
12.9791793,77.5750351,9,Saturday
13.008224,77.6941348,0,Sunday
12.9453727,77.5713071,9,Wednesday
12.9880106,77.577181,8,Monday
12.9770539,77.5801436,10,Thursday
12.9590293,77.576979,14,Friday
13.0215506,77.5924336,2,Thursday
12.9382332,77.5333446,4,Thursday
12.9320279,77.63199,4,Monday
12.9770983,77.575835,8,Saturday
12.9320899,77.6877829,5,Thursday
13.0378203,77.5748969,10,Thursday
13.0223783,77.639643,10,Monday
12.9423056,77.5711202,4,Wednesday
12.9648539,77.5389147,11,Thursday
13.2448212,77.7130783,5,Tuesday
13.0470676,77.5421585,11,Friday
13.0188543,77.5575509,6,Monday
12.9734634,77.5511905,10,Tuesday
12.9938814,77.5525822,3,Thursday
12.9593703,77.5759911,13,Saturday
13.0721553,77.6337611,11,Friday
12.9812336,77.5984823,4,Wednesday
12.9810028,77.610311,9,Sunday
12.9935344,77.5891266,3,Tuesday
12.964562,77.5764349,21,Saturday
12.9973417,77.6104133,3,Sunday
12.9975317,77.5495177,4,Saturday
13.0068429,77.6879931,11,Sunday
12.9784941,77.5735215,10,Thursday
12.988665,77.6088083,12,Saturday
12.9770813,77.5773576,13,Saturday
13.0713083,77.588235,9,Sunday
12.9795939,77.6071777,9,Friday
12.9924161,77.5508845,0,Thursday
12.9735239,77.5792972,8,Saturday
12.967362,77.5846567,4,Tuesday
12.9688343,77.545518,4,Friday
12.9071686,77.6292557,9,Thursday
12.9822589,77.6031355,8,Friday
12.9746549,77.7107749,3,Friday
12.9886725,77.5919638,8,Saturday
12.932204178623408,77.69613189660912,12,Tuesday
12.978115,77.5779183,7,Friday
12.9388025,77.5783186,6,Tuesday
12.9583601,77.6452036,5,Sunday
12.9226142,77.6228597,0,Sunday
13.0000047,77.5713557,7,Monday
12.9355732,77.6901367,3,Friday
13.187705,77.6804433,12,Saturday
12.984503,77.5492254,5,Wednesday
12.946366,77.4872263,11,Saturday
12.9340732,77.690758,2,Tuesday
12.9816246,77.6082569,12,Sunday
13.021391,77.5517386,15,Saturday
12.9572244,77.5774855,4,Wednesday
12.9332726,77.6909712,10,Thursday
12.9987926,77.5713735,7,Thursday
13.0538526,77.5927782,11,Saturday
12.9378648,77.7002479,8,Tuesday
12.9394092,77.5840013,3,Monday
12.9777766,77.5754047,9,Saturday
12.9889896,77.4996675,5,Sunday
12.9336642,77.6908435,10,Tuesday
12.9866612,77.5561936,4,Wednesday
13.0722685,77.633535,5,Thursday
12.9773462,77.5773156,9,Friday
12.9937036,77.5526316,4,Friday
12.9727945,77.5789873,4,Wednesday
13.007814,77.5709101,5,Sunday
12.9755967,77.5771365,10,Tuesday
13.071196581448174,77.58870017326355,5,Wednesday
12.9745343,77.544825,3,Thursday
12.9852504,77.6065331,9,Tuesday
13.024878,77.7173989,7,Thursday
13.0705122,77.5876839,12,Wednesday
12.964673,77.5750346,1,Friday
12.9997917,77.5496933,11,Sunday
12.9781304,77.5794846,12,Sunday
13.008642,77.5546207,4,Tuesday
12.9081803,77.5705254,12,Saturday
12.9842681,77.5488817,10,Friday
12.9744243,77.5455779,11,Tuesday
12.9618727,77.5991602,10,Wednesday
12.9753426,77.5763829,7,Sunday
12.9987985,77.5736764,10,Sunday
13.0135233,77.5514233,3,Wednesday
13.0080722,77.6949036,10,Sunday
12.9812494,77.6092245,8,Monday
12.9708267,77.7121967,3,Sunday
12.9649876,77.5755966,1,Friday
12.998752,77.5408784,3,Tuesday
12.9797553,77.6072128,11,Monday
13.0055283,77.5685068,2,Sunday
12.9424553,77.7472906,5,Saturday
12.9170479,77.6730909,2,Thursday
13.1861136,77.6798518,3,Saturday
12.835515,77.6791498,2,Thursday
12.9375722,77.6977891,5,Thursday
12.9603324,77.5627614,13,Monday
12.9745991,77.5447137,4,Thursday
12.9957183,77.6146333,3,Tuesday
12.9768767,77.5756974,9,Saturday
12.9717596,77.6580692,1,Saturday
13.1848983,77.6795483,5,Wednesday
12.9521017,77.5405,7,Sunday
12.9896333,77.5507021,6,Saturday
12.9543278,77.5902242,8,Sunday
12.96634,77.718235,11,Saturday
12.9736197,77.5505565,3,Tuesday
12.9633809,77.5801028,0,Sunday
13.1206467,77.6104005,4,Wednesday
12.993081,77.5534102,1,Tuesday
12.9249675,77.6754678,4,Wednesday
12.956645,77.7004667,8,Saturday
13.0054546,77.5688032,3,Saturday
12.9787011,77.5732257,4,Monday
12.9862355,77.589081,8,Monday
12.9771657,77.5801584,8,Friday
12.9772075,77.57569,8,Monday
12.9772608,77.570744,3,Tuesday
12.9261776,77.6773387,4,Wednesday
12.975294,77.5763795,6,Sunday
12.959445,77.5758391,13,Thursday
12.8705534,77.6554649,10,Thursday
13.1839729,77.6797464,1,Thursday
12.959537,77.6494065,9,Sunday
12.9803153,77.6072746,7,Sunday
12.9388644,77.6965801,12,Monday
13.04728,77.5756605,2,Tuesday
12.9372805,77.7019916,13,Monday
12.9867434,77.7347871,11,Friday
12.9294734,77.5807208,9,Tuesday
13.0126693,77.5544455,7,Sunday
12.9690754,77.5752187,10,Thursday
13.0705261,77.587953,10,Monday
12.9645466,77.5397106,5,Thursday
12.9821004,77.6107237,13,Saturday
13.0024903,77.5496643,2,Tuesday
12.9874059,77.5785661,10,Monday
13.0402944,77.518599,3,Saturday
12.9334035,77.6911885,6,Friday
12.9124372,77.6338,5,Friday
12.9764182,77.5775016,6,Wednesday
12.9744973,77.5473091,3,Wednesday
12.9834914,77.5488107,4,Saturday
12.9338928,77.6908938,9,Thursday
13.187012,77.680776,5,Sunday
13.0003967,77.549725,4,Friday
12.9731139,77.5790975,12,Tuesday
12.9810837,77.6101737,9,Sunday
12.9538717,77.5435944,1,Thursday
12.913011,77.6255545,13,Wednesday
12.8676657,77.5924971,4,Saturday
13.1874765,77.680405,4,Saturday
12.9692955,77.6414077,7,Tuesday
12.980684,77.5781499,5,Friday
12.9727542,77.5788593,5,Sunday
13.1869792,77.68135,2,Sunday
12.9955817,77.6109233,3,Sunday
12.9859614,77.4880704,6,Saturday
12.9291225,77.5838381,11,Sunday
12.9950203,77.6538526,6,Wednesday
12.87002,77.6592588,2,Sunday
12.9819706,77.6056861,11,Saturday
12.9556538,77.718393,14,Saturday
12.9779479,77.5754234,12,Saturday
12.9957216,77.6135804,11,Tuesday
12.9829247,77.6112548,11,Wednesday
12.9997202,77.5496036,9,Friday
12.9698553,77.5756482,8,Monday
12.9741025,77.5781262,6,Saturday
12.9745943,77.5449671,4,Friday
12.9786368,77.6332009,11,Tuesday
12.9643736,77.5789042,4,Monday
12.9648485,77.5747656,1,Sunday
13.0715066,77.5882123,13,Thursday
12.993383,77.6619746,14,Monday
12.9892042,77.5501729,15,Friday
12.9002017,77.67551,1,Wednesday
13.0081816,77.6936056,4,Thursday
12.9652551,77.5848128,5,Wednesday
12.8415557,77.6473176,12,Sunday
12.9643996,77.5404335,12,Tuesday
12.9774487,77.5787434,1,Monday
12.9758002,77.5814716,5,Thursday
13.09605,77.6002584,0,Thursday
12.9835894,77.6079834,8,Friday
13.0308441,77.5356431,2,Saturday
12.9932791,77.5527191,11,Wednesday
12.9994443,77.5713804,12,Thursday
13.0053081,77.5622109,8,Thursday
12.9770499,77.5707784,2,Tuesday
12.9049743,77.5855749,12,Wednesday
13.0104629,77.6974202,0,Monday
13.0352194,77.5889719,4,Thursday
12.969558667403618,77.60645829148368,1,Friday
13.0401349,77.5185182,9,Saturday
13.050933,77.5077851,11,Tuesday
