cell,weekday,hour,count,n_days,expected_per_occurrence
"12.803,77.704",Thursday,5,1,21,0.047619047619047616
"12.805,77.7",Thursday,7,2,21,0.09523809523809523
"12.806,77.698",Tuesday,11,2,21,0.09523809523809523
"12.806,77.699",Sunday,5,8,22,0.36363636363636365
"12.806,77.699",Thursday,7,4,21,0.19047619047619047
"12.806,77.7",Sunday,5,2,22,0.09090909090909091
"12.806,77.7",Thursday,7,2,21,0.09523809523809523
"12.807,77.697",Sunday,9,10,22,0.45454545454545453
"12.807,77.698",Wednesday,4,1,21,0.047619047619047616
"12.807,77.698",Wednesday,5,6,21,0.2857142857142857
"12.807,77.699",Sunday,6,1,22,0.045454545454545456
"12.807,77.699",Wednesday,4,2,21,0.09523809523809523
"12.808,77.697",Saturday,13,1,22,0.045454545454545456
"12.808,77.698",Saturday,12,1,22,0.045454545454545456
"12.811,77.694",Thursday,3,4,21,0.19047619047619047
"12.811,77.695",Thursday,3,1,21,0.047619047619047616
"12.812,77.694",Thursday,3,2,21,0.09523809523809523
"12.814,77.692",Wednesday,9,1,21,0.047619047619047616
"12.817,77.69",Friday,2,1,22,0.045454545454545456
"12.818,77.689",Monday,6,1,22,0.045454545454545456
"12.818,77.689",Saturday,2,38,22,1.7272727272727273
"12.818,77.689",Saturday,5,14,22,0.6363636363636364
"12.818,77.689",Saturday,7,2,22,0.09090909090909091
"12.818,77.689",Sunday,11,2,22,0.09090909090909091
"12.818,77.689",Thursday,3,1,21,0.047619047619047616
"12.818,77.689",Tuesday,7,2,21,0.09523809523809523
"12.818,77.689",Tuesday,11,7,21,0.3333333333333333
"12.818,77.689",Wednesday,3,1,21,0.047619047619047616
"12.818,77.689",Wednesday,6,3,21,0.14285714285714285
"12.818,77.689",Wednesday,10,12,21,0.5714285714285714
"12.818,77.689",Wednesday,11,1,21,0.047619047619047616
"12.818,77.69",Friday,9,5,22,0.22727272727272727
"12.818,77.69",Monday,9,5,22,0.22727272727272727
"12.818,77.69",Monday,11,1,22,0.045454545454545456
"12.818,77.69",Saturday,4,1,22,0.045454545454545456
"12.818,77.69",Sunday,11,4,22,0.18181818181818182
"12.818,77.69",Tuesday,13,3,21,0.14285714285714285
"12.818,77.69",Wednesday,10,5,21,0.23809523809523808
"12.819,77.688",Friday,11,1,22,0.045454545454545456
"12.819,77.688",Monday,5,1,22,0.045454545454545456
"12.819,77.688",Monday,7,1,22,0.045454545454545456
"12.819,77.688",Monday,11,2,22,0.09090909090909091
"12.819,77.688",Saturday,8,1,22,0.045454545454545456
"12.819,77.688",Thursday,5,1,21,0.047619047619047616
"12.819,77.688",Thursday,6,1,21,0.047619047619047616
"12.819,77.688",Tuesday,8,1,21,0.047619047619047616
"12.819,77.688",Tuesday,9,2,21,0.09523809523809523
"12.819,77.688",Tuesday,11,1,21,0.047619047619047616
"12.819,77.689",Friday,4,1,22,0.045454545454545456
"12.819,77.689",Friday,5,1,22,0.045454545454545456
"12.819,77.689",Friday,6,13,22,0.5909090909090909
"12.819,77.689",Friday,12,2,22,0.09090909090909091
"12.819,77.689",Friday,13,1,22,0.045454545454545456
"12.819,77.689",Monday,5,2,22,0.09090909090909091
"12.819,77.689",Monday,11,3,22,0.13636363636363635
"12.819,77.689",Saturday,2,4,22,0.18181818181818182
"12.819,77.689",Saturday,3,2,22,0.09090909090909091
"12.819,77.689",Saturday,4,1,22,0.045454545454545456
"12.819,77.689",Saturday,5,3,22,0.13636363636363635
"12.819,77.689",Saturday,11,1,22,0.045454545454545456
"12.819,77.689",Saturday,12,1,22,0.045454545454545456
"12.819,77.689",Sunday,11,4,22,0.18181818181818182
"12.819,77.689",Sunday,12,1,22,0.045454545454545456
"12.819,77.689",Thursday,3,2,21,0.09523809523809523
"12.819,77.689",Thursday,12,1,21,0.047619047619047616
"12.819,77.689",Thursday,13,1,21,0.047619047619047616
"12.819,77.689",Tuesday,2,3,21,0.14285714285714285
"12.819,77.689",Tuesday,9,1,21,0.047619047619047616
"12.819,77.689",Tuesday,10,2,21,0.09523809523809523
"12.819,77.689",Tuesday,11,3,21,0.14285714285714285
"12.819,77.689",Wednesday,3,1,21,0.047619047619047616
"12.819,77.689",Wednesday,11,1,21,0.047619047619047616
"12.819,77.689",Wednesday,12,2,21,0.09523809523809523
"12.819,77.69",Sunday,11,1,22,0.045454545454545456
"12.82,77.687",Friday,9,2,22,0.09090909090909091
"12.82,77.688",Friday,3,10,22,0.45454545454545453
"12.82,77.688",Friday,6,2,22,0.09090909090909091
"12.82,77.688",Friday,9,16,22,0.7272727272727273
"12.82,77.688",Monday,5,5,22,0.22727272727272727
"12.82,77.688",Monday,6,1,22,0.045454545454545456
"12.82,77.688",Saturday,3,1,22,0.045454545454545456
"12.82,77.688",Sunday,5,1,22,0.045454545454545456
"12.82,77.688",Thursday,10,1,21,0.047619047619047616
"12.82,77.688",Tuesday,3,1,21,0.047619047619047616
"12.82,77.688",Tuesday,12,1,21,0.047619047619047616
"12.82,77.688",Wednesday,4,1,21,0.047619047619047616
"12.82,77.688",Wednesday,9,1,21,0.047619047619047616
"12.82,77.689",Saturday,7,1,22,0.045454545454545456
"12.821,77.687",Friday,9,4,22,0.18181818181818182
"12.821,77.687",Friday,12,2,22,0.09090909090909091
"12.821,77.687",Friday,13,2,22,0.09090909090909091
"12.821,77.687",Monday,10,2,22,0.09090909090909091
"12.821,77.687",Sunday,5,1,22,0.045454545454545456
"12.821,77.687",Sunday,7,2,22,0.09090909090909091
"12.821,77.687",Thursday,10,1,21,0.047619047619047616
"12.821,77.688",Friday,9,1,22,0.045454545454545456
"12.821,77.688",Monday,11,1,22,0.045454545454545456
"12.821,77.688",Saturday,7,1,22,0.045454545454545456
"12.822,77.686",Friday,7,2,22,0.09090909090909091
"12.822,77.687",Tuesday,12,1,21,0.047619047619047616
"12.823,77.685",Friday,7,2,22,0.09090909090909091
"12.823,77.685",Sunday,9,1,22,0.045454545454545456
"12.823,77.685",Sunday,12,1,22,0.045454545454545456
"12.823,77.686",Friday,7,10,22,0.45454545454545453
"12.823,77.686",Sunday,9,3,22,0.13636363636363635
"12.823,77.686",Thursday,13,1,21,0.047619047619047616
"12.823,77.686",Thursday,14,1,21,0.047619047619047616
"12.824,77.684",Friday,7,1,22,0.045454545454545456
"12.824,77.685",Friday,7,2,22,0.09090909090909091
"12.825,77.683",Thursday,2,3,21,0.14285714285714285
"12.825,77.684",Thursday,3,2,21,0.09523809523809523
"12.826,77.682",Thursday,2,1,21,0.047619047619047616
"12.826,77.682",Thursday,3,1,21,0.047619047619047616
"12.826,77.682",Wednesday,14,2,21,0.09523809523809523
"12.826,77.683",Friday,3,2,22,0.09090909090909091
"12.827,77.682",Friday,3,2,22,0.09090909090909091
"12.827,77.682",Thursday,3,5,21,0.23809523809523808
"12.828,77.682",Friday,2,2,22,0.09090909090909091
"12.828,77.682",Saturday,3,1,22,0.045454545454545456
"12.828,77.682",Sunday,5,1,22,0.045454545454545456
"12.828,77.682",Thursday,2,1,21,0.047619047619047616
"12.828,77.682",Tuesday,2,2,21,0.09523809523809523
"12.828,77.683",Friday,7,1,22,0.045454545454545456
"12.828,77.683",Saturday,9,1,22,0.045454545454545456
"12.829,77.682",Thursday,2,1,21,0.047619047619047616
"12.829,77.682",Thursday,3,1,21,0.047619047619047616
"12.83,77.681",Thursday,2,1,21,0.047619047619047616
"12.83,77.681",Tuesday,2,1,21,0.047619047619047616
"12.83,77.682",Tuesday,2,1,21,0.047619047619047616
"12.831,77.681",Friday,7,1,22,0.045454545454545456
"12.831,77.681",Thursday,2,1,21,0.047619047619047616
"12.831,77.681",Thursday,3,1,21,0.047619047619047616
"12.832,77.68",Tuesday,2,1,21,0.047619047619047616
"12.833,77.68",Tuesday,2,1,21,0.047619047619047616
"12.833,77.681",Tuesday,2,1,21,0.047619047619047616
"12.835,77.679",Friday,2,5,22,0.22727272727272727
"12.835,77.679",Friday,10,1,22,0.045454545454545456
"12.835,77.679",Friday,12,1,22,0.045454545454545456
"12.835,77.679",Friday,13,2,22,0.09090909090909091
"12.835,77.679",Saturday,2,1,22,0.045454545454545456
"12.835,77.679",Saturday,12,1,22,0.045454545454545456
"12.835,77.679",Saturday,13,1,22,0.045454545454545456
"12.835,77.679",Sunday,12,1,22,0.045454545454545456
"12.835,77.679",Sunday,14,1,22,0.045454545454545456
"12.835,77.679",Thursday,2,1,21,0.047619047619047616
"12.835,77.679",Thursday,11,1,21,0.047619047619047616
"12.835,77.679",Tuesday,13,1,21,0.047619047619047616
"12.835,77.68",Sunday,11,1,22,0.045454545454545456
"12.835,77.68",Thursday,13,1,21,0.047619047619047616
"12.835,77.681",Saturday,13,1,22,0.045454545454545456
"12.836,77.679",Friday,2,5,22,0.22727272727272727
"12.836,77.679",Friday,11,2,22,0.09090909090909091
"12.836,77.679",Saturday,2,1,22,0.045454545454545456
"12.836,77.679",Saturday,3,1,22,0.045454545454545456
"12.836,77.679",Saturday,4,5,22,0.22727272727272727
"12.836,77.679",Saturday,11,2,22,0.09090909090909091
"12.836,77.679",Sunday,3,2,22,0.09090909090909091
"12.836,77.679",Sunday,11,1,22,0.045454545454545456
"12.836,77.679",Thursday,2,1,21,0.047619047619047616
"12.836,77.679",Thursday,3,2,21,0.09523809523809523
"12.836,77.679",Thursday,12,1,21,0.047619047619047616
"12.836,77.679",Tuesday,3,2,21,0.09523809523809523
"12.836,77.679",Tuesday,4,1,21,0.047619047619047616
"12.836,77.679",Wednesday,3,1,21,0.047619047619047616
"12.836,77.679",Wednesday,4,2,21,0.09523809523809523
"12.836,77.679",Wednesday,10,1,21,0.047619047619047616
"12.836,77.68",Tuesday,2,1,21,0.047619047619047616
"12.837,77.663",Monday,11,1,22,0.045454545454545456
"12.837,77.678",Saturday,4,1,22,0.045454545454545456
"12.838,77.677",Monday,9,3,22,0.13636363636363635
"12.838,77.677",Saturday,4,1,22,0.045454545454545456
"12.839,77.651",Sunday,10,1,22,0.045454545454545456
"12.839,77.657",Sunday,12,1,22,0.045454545454545456
"12.839,77.678",Monday,0,1,22,0.045454545454545456
"12.839,77.678",Saturday,4,27,22,1.2272727272727273
"12.839,77.678",Saturday,5,2,22,0.09090909090909091
"12.839,77.678",Sunday,11,15,22,0.6818181818181818
"12.839,77.678",Thursday,3,1,21,0.047619047619047616
"12.84,77.644",Friday,2,1,22,0.045454545454545456
"12.84,77.644",Tuesday,2,2,21,0.09523809523809523
"12.84,77.65",Monday,13,1,22,0.045454545454545456
"12.84,77.651",Thursday,2,1,21,0.047619047619047616
"12.84,77.651",Wednesday,12,1,21,0.047619047619047616
"12.84,77.652",Sunday,12,1,22,0.045454545454545456
"12.84,77.652",Thursday,13,4,21,0.19047619047619047
"12.84,77.652",Tuesday,6,1,21,0.047619047619047616
"12.84,77.652",Wednesday,11,5,21,0.23809523809523808
"12.84,77.653",Saturday,3,1,22,0.045454545454545456
"12.84,77.653",Thursday,12,3,21,0.14285714285714285
"12.84,77.654",Thursday,11,6,21,0.2857142857142857
"12.84,77.654",Wednesday,12,2,21,0.09523809523809523
"12.84,77.663",Saturday,11,2,22,0.09090909090909091
"12.84,77.663",Sunday,5,1,22,0.045454545454545456
"12.84,77.663",Tuesday,5,1,21,0.047619047619047616
"12.84,77.663",Tuesday,6,1,21,0.047619047619047616
"12.84,77.663",Tuesday,7,1,21,0.047619047619047616
"12.84,77.663",Wednesday,5,2,21,0.09523809523809523
"12.84,77.663",Wednesday,11,1,21,0.047619047619047616
"12.84,77.664",Tuesday,6,1,21,0.047619047619047616
"12.84,77.676",Saturday,11,1,22,0.045454545454545456
"12.84,77.676",Sunday,15,1,22,0.045454545454545456
"12.84,77.677",Friday,3,4,22,0.18181818181818182
"12.84,77.677",Friday,6,7,22,0.3181818181818182
"12.84,77.677",Friday,8,2,22,0.09090909090909091
"12.84,77.677",Friday,11,1,22,0.045454545454545456
"12.84,77.677",Friday,12,2,22,0.09090909090909091
"12.84,77.677",Friday,13,12,22,0.5454545454545454
"12.84,77.677",Monday,9,10,22,0.45454545454545453
"12.84,77.677",Monday,10,5,22,0.22727272727272727
"12.84,77.677",Monday,11,12,22,0.5454545454545454
"12.84,77.677",Monday,12,11,22,0.5
"12.84,77.677",Monday,14,1,22,0.045454545454545456
"12.84,77.677",Monday,16,2,22,0.09090909090909091
"12.84,77.677",Monday,17,1,22,0.045454545454545456
"12.84,77.677",Saturday,4,6,22,0.2727272727272727
"12.84,77.677",Saturday,5,12,22,0.5454545454545454
"12.84,77.677",Saturday,7,2,22,0.09090909090909091
"12.84,77.677",Saturday,8,1,22,0.045454545454545456
"12.84,77.677",Saturday,11,1,22,0.045454545454545456
"12.84,77.677",Saturday,14,4,22,0.18181818181818182
"12.84,77.677",Saturday,15,2,22,0.09090909090909091
"12.84,77.677",Saturday,16,3,22,0.13636363636363635
"12.84,77.677",Sunday,0,1,22,0.045454545454545456
"12.84,77.677",Sunday,7,1,22,0.045454545454545456
"12.84,77.677",Sunday,13,6,22,0.2727272727272727
"12.84,77.677",Sunday,16,1,22,0.045454545454545456
"12.84,77.677",Thursday,1,1,21,0.047619047619047616
"12.84,77.677",Thursday,2,1,21,0.047619047619047616
"12.84,77.677",Thursday,3,1,21,0.047619047619047616
"12.84,77.677",Thursday,4,1,21,0.047619047619047616
