cell,violations,latitude,longitude,junction_label,police_station,is_named_junction,label,event_congestion_raw,strategic_raw,junction_raw,c_violation,c_event,c_junction,c_strategic,impact_score,top_violations,peak_hour,peak_hour_label
"12.964,77.577",3745,12.964077901563494,77.5768995240612,BTP082 - KR Market Junction,City Market,1,BTP082 - KR Market Junction,3.0,1,0.9244897959183673,0.8489795918367347,0.030303030303030304,0.9244897959183673,1.0,67.45,Wrong Parking 84% · No Parking 10%,0,00:00–01:00 IST
"12.981,77.61",4411,12.981083513578422,77.61013528841559,BTP051 - Safina Plaza Junction,Shivajinagar,1,BTP051 - Safina Plaza Junction,0.0,0,1.0,1.0,0.0,1.0,0.0,65.0,Wrong Parking 44% · No Parking 40%,10,10:00–11:00 IST
"12.977,77.576",3181,12.977186446651997,77.57613171631563,BTP040 - Elite Junction,Upparpet,1,BTP040 - Elite Junction,0.0,0,0.8605442176870748,0.7210884353741497,0.0,0.8605442176870748,0.0,49.66,No Parking 68% · Wrong Parking 28%,9,09:00–10:00 IST
"12.965,77.576",1933,12.964683566373512,77.57617047206416,BTP082 - KR Market Junction,City Market,1,BTP082 - KR Market Junction,1.5,1,0.719047619047619,0.4380952380952381,0.015151515151515152,0.719047619047619,1.0,44.47,Wrong Parking 77% · No Parking 21%,9,09:00–10:00 IST
"12.974,77.545",1766,12.974176691506228,77.54500246659116,BTP020 - Hosahalli Metro Station,Vijayanagara,1,BTP020 - Hosahalli Metro Station,3.0,1,0.7001133786848073,0.4002267573696145,0.030303030303030304,0.7001133786848073,1.0,42.77,Wrong Parking 52% · No Parking 43%,4,04:00–05:00 IST
"12.973,77.579",2366,12.973088122738801,77.579035767836,BTP044 - Sagar Theatre Junction,Upparpet,1,BTP044 - Sagar Theatre Junction,0.0,0,0.768140589569161,0.536281179138322,0.0,0.768140589569161,0.0,39.5,No Parking 57% · Wrong Parking 36%,10,10:00–11:00 IST
"12.934,77.691",3343,12.933868001674734,77.69086837725041,No Junction,HAL Old Airport,0,"Zone 12.934, 77.691",0.0,0,0.0,0.7578231292517007,0.0,0.0,0.0,34.1,No Parking 39% · Wrong Parking 32%,4,04:00–05:00 IST
"12.977,77.577",1907,12.977003156528578,77.57706455133717,BTP040 - Elite Junction,Upparpet,1,BTP040 - Elite Junction,0.0,0,0.7160997732426304,0.43219954648526077,0.0,0.7160997732426304,0.0,33.77,Wrong Parking 50% · No Parking 48%,8,08:00–09:00 IST
"13.071,77.588",3280,13.071189507711754,77.58803781578963,No Junction,Kodigehalli,0,"Zone 13.071, 77.588",0.0,0,0.0,0.7435374149659864,0.0,0.0,0.0,33.46,Wrong Parking 69% · No Parking 25%,11,11:00–12:00 IST
"12.975,77.545",1011,12.974615745994065,77.54510551097923,BTP020 - Hosahalli Metro Station,Vijayanagara,1,BTP020 - Hosahalli Metro Station,3.0,1,0.6145124716553287,0.2290249433106576,0.030303030303030304,0.6145124716553287,1.0,33.35,Wrong Parking 59% · No Parking 39%,8,08:00–09:00 IST
"12.964,77.578",980,12.96426383380206,77.57801883664078,BTP082 - KR Market Junction,City Market,1,BTP082 - KR Market Junction,3.0,1,0.6109977324263038,0.2219954648526077,0.030303030303030304,0.6109977324263038,1.0,32.97,Wrong Parking 73% · No Parking 22%,9,09:00–10:00 IST
"12.976,77.577",1795,12.976102326406686,77.57725434222841,BTP040 - Elite Junction,Upparpet,1,BTP040 - Elite Junction,0.0,0,0.7034013605442176,0.40680272108843535,0.0,0.7034013605442176,0.0,32.37,Wrong Parking 51% · No Parking 46%,9,09:00–10:00 IST
"12.984,77.603",1649,12.98419388496058,77.60320002601576,BTP211 - Central Street Junction,Shivajinagar,1,BTP211 - Central Street Junction,1.0,0,0.6868480725623582,0.37369614512471655,0.010101010101010102,0.6868480725623582,0.0,30.81,Wrong Parking 53% · No Parking 39%,10,10:00–11:00 IST
"12.984,77.604",1630,12.984000441963191,77.6036676590184,BTP211 - Central Street Junction,Shivajinagar,1,BTP211 - Central Street Junction,1.0,0,0.6846938775510204,0.3693877551020408,0.010101010101010102,0.6846938775510204,0.0,30.57,Wrong Parking 46% · No Parking 42%,10,10:00–11:00 IST
"12.974,77.546",813,12.974351490159902,77.545854200492,BTP020 - Hosahalli Metro Station,Vijayanagara,1,BTP020 - Hosahalli Metro Station,0.0,1,0.5920634920634921,0.18412698412698414,0.0,0.5920634920634921,1.0,30.13,Wrong Parking 57% · No Parking 39%,5,05:00–06:00 IST
"12.954,77.543",479,12.953692108021928,77.54299906051935,"BTP095 - Satellite Bus Stand, Mysore Road",Byatarayanapura,1,"BTP095 - Satellite Bus Stand, Mysore Road",16.5,1,0.5541950113378685,0.10839002267573696,0.16666666666666666,0.5541950113378685,1.0,30.13,Wrong Parking 61% · No Parking 21%,10,10:00–11:00 IST
"12.97,77.576",1591,12.969908750137181,77.57573016455927,BTP043 - Upparpet Junction,City Market,1,BTP043 - Upparpet Junction,0.0,0,0.6802721088435374,0.36054421768707484,0.0,0.6802721088435374,0.0,29.83,Wrong Parking 60% · No Parking 37%,9,09:00–10:00 IST
"12.991,77.589",747,12.99128386385542,77.58856313842034,BTP032 - Windsor Circle,High ground,1,BTP032 - Windsor Circle,0.0,1,0.5845804988662131,0.1691609977324263,0.0,0.5845804988662131,1.0,29.3,Wrong Parking 97% · Defective Number Plate 2%,3,03:00–04:00 IST
"12.994,77.589",646,12.994063019659444,77.58916664396284,BTP032 - Windsor Circle,High ground,1,BTP032 - Windsor Circle,2.5,1,0.5731292517006803,0.14625850340136054,0.025252525252525252,0.5731292517006803,1.0,28.68,No Parking 66% · Wrong Parking 31%,3,03:00–04:00 IST
"12.982,77.608",1408,12.981729046022728,77.60815689673296,BTP051 - Safina Plaza Junction,Shivajinagar,1,BTP051 - Safina Plaza Junction,1.5,0,0.6595238095238095,0.319047619047619,0.015151515151515152,0.6595238095238095,0.0,27.93,Wrong Parking 65% · No Parking 25%,10,10:00–11:00 IST
"12.964,77.576",635,12.964237460314962,77.57621695181102,BTP082 - KR Market Junction,City Market,1,BTP082 - KR Market Junction,0.0,1,0.5718820861678005,0.1437641723356009,0.0,0.5718820861678005,1.0,27.91,Wrong Parking 89% · No Parking 6%,1,01:00–02:00 IST
"13.014,77.584",3,13.014401533333334,77.5837232,BTP030 - Mekhri Circle,Sadashivanagar,1,BTP030 - Mekhri Circle,30.0,1,0.5002267573696145,0.00045351473922902497,0.30303030303030304,0.5002267573696145,1.0,27.6,No Parking 50% · Wrong Parking 25%,12,12:00–13:00 IST
"12.98,77.607",1350,12.979780905111111,77.607192028,BTP051 - Safina Plaza Junction,Shivajinagar,1,BTP051 - Safina Plaza Junction,3.0,0,0.6529478458049887,0.3058956916099773,0.030303030303030304,0.6529478458049887,0.0,27.58,Wrong Parking 49% · No Parking 48%,10,10:00–11:00 IST
"12.962,77.599",609,12.96186945500821,77.59900771543514,BTP172 - Nanjappa Circle,Ashok Nagar,1,BTP172 - Nanjappa Circle,0.0,1,0.5689342403628118,0.13786848072562358,0.0,0.5689342403628118,1.0,27.58,No Parking 96% · Wrong Parking 3%,4,04:00–05:00 IST
"12.965,77.539",1402,12.964869075141685,77.5388754314141,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara,1,"BTP016 - 5th Main Road, RPC Layout",0.0,0,0.6588435374149659,0.31768707482993197,0.0,0.6588435374149659,0.0,27.47,Wrong Parking 87% · No Parking 12%,11,11:00–12:00 IST
"12.996,77.585",74,12.996294903972233,77.5845932932676,BTP032 - Windsor Circle,Sheshadripuram,1,BTP032 - Windsor Circle,25.5,1,0.5082766439909298,0.01655328798185941,0.25757575757575757,0.5082766439909298,1.0,27.35,No Parking 77% · Wrong Parking 19%,7,07:00–08:00 IST
"12.964,77.584",931,12.964137505263158,77.58395573222342,"BTP080 - NR Road, SP Road Junction",Halasuru Gate,1,"BTP080 - NR Road, SP Road Junction",22.5,0,0.6054421768707483,0.2108843537414966,0.22727272727272727,0.6054421768707483,0.0,27.28,Wrong Parking 60% · No Parking 37%,10,10:00–11:00 IST
